headline,reviewBody,Author Name,Published Year,Published Month,Published Day,Review,SA Negative,SA Positive,Review Case
"Bad service, horrible customer service.","I have had BT for quite a long time, and so far the service has been very bad. The router kept on flashing orange occasionally and the speeds kept on dropping. The customer service was especially bad and pretty useless at solving my issue. They did send a new router but the same issue kept on happening. I am thinking of leaving BT at this point.",Zef,2021,5,22,1,0.099,0.058,Negative
I use bt broadband for 2 years,"I use bt broadband for 2 years , But today is like s**t , the internet dosent have power , is totally s**t! Im paying for nothing..",Andi Manole !,2021,5,22,1,0,0.117,Positive
Very poor customer services they tell…,Very poor customer services they tell so many lies as well. Don't even think about taking broadband or landline with them.,Tim Griffiths,2021,5,22,1,0.244,0.079,Negative
Bad service,In January 2021 we started having problems with our router we called BT and it took them FOREVER to sort it then it played up in April 2021 and we called in and it has taken 4 re arrangements to do it and they still haven't come to sort it out,Harry_ PlayzDoseGames,2021,5,22,1,0.051,0.045,Negative
Wish I had read the reviews....,"Not been with BT long but the internet cuts out almost everyday. I am sick of that flashing orange! (Pretty colours though). I also can’t understand why they think it’s okay to increase my monthly contract after only two months with them. According to the complaints department, THEY feel it’s fair. I actually laughed. Of course they would! I won’t be staying with them after my contract ends... and that’s after a few months with them. I wish I had read the reviews before I signed up.",Rika Lennard,2021,5,22,2,0.106,0.168,Positive
I have BT infinity,"I have BT infinity - supposed to be fast and guaranteed speed. I live on my own so minimal usage. It’s is utterly awful!! To use Teams I literally have to sit next to the router. I have called BT repeatedly and ‘there’s nothing wrong with it’ shoddy customer service and apparently it goes from nothing wrong, excellent service to it’s not very good and I should upgrade to fiber direct to the house at an increased cost of approximately £20 per month. No interest in helping me, did not record complaint when I asked and totally not worth spending more for a bigger, more so called reputable company",Lou Johnstone,2021,5,21,2,0.111,0.126,Positive
If I could rate ZERO stars I would,"If I could rate ZERO stars I would. I've been tolerating them for a while now solely due to my laziness to change broadbands, I finally decided enough is enough and when I tried to leave them there were even more complications, they've made it so difficult to end the contract with them, their broadband is appalling and their customer service is worse. Save yourselves the time and effort and just don't sign up with them.",Tahira,2021,5,21,1,0.127,0.04,Negative
Shittest broadband is ever,Shittest broadband is ever experienced and when I called BT customer support several times I was being told different things all the time. 0/5 would not recommend.Wouldn't even take the broadband for free lol,Mohammed Hussain,2021,5,21,1,0,0.233,Positive
COMMUNICATION!!!!!!,"On 22/04/21 my mother who has early stage dementia was to have her phone and broadband changed from talk talk to BT. On the date nothing happened, On chasing them up it transpired the phone connection had been wired into the wrong box and would have to be set up again...""will be sorted in a few days"". A month later we are still waiting and in the meantime they have totally disconnected the phone leaving a vulnerable person with no means of contact with the outside world. We have spent hours on the phone to BT and spoken to dozens of different people...who are all nice and polite but nothing gets done...we raised a complaint which was closed as resolved in the same day with nobody actually talking to us.COMMUNICATION should be the single most important thing to a communications company...but they seem to have forgotten what this word means.",Dave Tuer,2021,5,21,1,0.067,0.043,Negative
poor customer service,"Contacted BT to find out why I had only been offered 1 deal to upgrade, usually I get a selection and choose the best one.  Sales person was really rude and patronising.  Made me feel really small and talked down to me.  Wanted to stay with BT and get a better deal but the advisor actually pushed me into leaving",Helen Jeffrey,2021,5,21,1,0.037,0.078,Positive
Not a day goes by when BT internet…,"Not a day goes by when BT internet router goes orange and have No internet! This happens at least two or three times a day. Have had BT engineer check line etc but still not resolved ! Keep seeing all these advert ends on how reliable BT is. Yet it is all lies and now they want me to renew for another two years, No chance ! I need a company that does what it says !",Colin Hannant,2021,5,20,1,0.14,0.05,Negative
Very poor service.,"Very poor service.I have had an ongoing  issue for two years!The service is not up to speed, youtube  crashes when watching film.Btw can't resolve  the fault but they are happy to charge for the poor internet service.Costs around  55 pounds a month.I won't be using there service when I am out of contract!Don't use Bt!",Matthew Stocks,2021,5,20,1,0.145,0.104,Negative
Absolute disgusting service from BT I…,Absolute disgusting service from BT I came down with the corona virus begggining of year and was inA coma for 3 months I rang bt when I woke up from my life threatening illness and told them this is why I could not pay my bill on time they cut my Internet if and sent debt management teams round to my address I will never use bt again and as a influencer on YouTube I will be making it clear that bt are not a good company,Lee Campbell,2021,5,20,1,0.183,0.043,Negative
Can't really see why all bad reviews,Can't really see why all bad reviews. Pahaps it's because nobody is writing good ones. Up graded to ultra fast broadband. Everything went smoothly. Constant emails and text reminders. Engineer turned up when they said he would and all upgraded in a jiffy. Thanks bt all working fine at present.,colin Brown,2021,5,20,5,0.062,0.135,Positive
"BT Fibre - Read the reviews, DO NOT BUY THIS","Read the reviews for BT Fibre on here and elsewhere. Moved to new home and was told it would be setup and running by 14th May, 2 days later text said it would be 19th May. I called on on 17th to confirm it was still going ahead and the advisor spoke to openreach and promised it would be up and running on 19th and they've moved it on from 'pre-order'. I have BT hub setup in house just waiting on service being activated by openreach at their end, had no communication or updates from BT and called on 19th to be told it was still on pre-order, they contacted openreach and they said the never had serial number for equipment in house, I have this on original order in email and asked why they didn't call me and I could've provided it, ""don't know""It's now on 48 hour review and openreach will provide update, no advice on when it will be up and running, just an update on the review.They tried to help and setup BT Hotspot, that doesn't work either and I've nearly used all my 4G allowance, I now can't work from home and will start losing money and possibly business contracts very soon. I could go into more detail about lies and promises they've made, just don't use them. Read the reviews and go elsewhere.",Matt ,2021,5,19,1,0.048,0.043,Negative
BT are scammers,"High price, very bad quality.",Akil,2021,5,19,1,0.487,0,Negative
BT service gone drastically down hill,BT service gone drastically down hill in the last year. Why raise a complaint when all they do is close them the same day without any corrective action. No joined up process in resolving issues and poor customer service from call handlers. No one called me back despite taking 20 minutes to diagnose a fault and send engineer out at different time communicated. Then despite assurance from engineer he would phone back with return appointment date I never received a call. Sadly I signed up to 2 year contract in January this year. What a mistake.,Ms Garside,2021,5,19,1,0.165,0.048,Negative
We have been trying to upgrade my…,We have been trying to upgrade my daughters mobile phone which she already has with by but the contract has ended. It allowed us the new contract but did not send the new phone . We contacted bt on 3 occasions each time they promised to sort it and call us back Still waiting ............???????,Ap,2021,5,19,1,0,0.075,Positive
You pay for a service. So dont use bt.,"You pay for a service.. be dont provide it. When you ring all you get is a person trained to listen - not resolve your problems, you cant speak to anyone who is prepared to help. BUT then there is the engineers... bt engineers turn up (always late & never call - so you waste a whole day) they say it's open reach problem. Open reach are even more amusing. They installed the phone line overhead into the house - but now want to drill a hole in the house wall & fit a shackle just to go up a ladder! So using the fault finding techniques of a 5 year old - they blame the hub & bt.Ring the listening man at bt AGAIN & he tries to send me a new hub... over half an hour on the phone (mostly on hold) it hangs up.So still no internet / no customer service / no resolution.If you want a service - go elsewhere. They are honestly a disgrace. Once something goes wrong- they fall apart.",Ian Wilson,2021,5,19,1,0.169,0.105,Negative
Useless service,"Switched to Vodafone. Open Reach have installed. Still no router has arrived one week later so no internet. Been told different things, so difficult to contact right people. Several broken promises. Router should be here by weekend! Losing faith. They had promised I wouldn’t be without internet when I arranged the switch. It has made work and coping with an autistic child so difficult.",Herman ,2021,5,19,1,0.217,0.116,Negative
Totally useless,"BT? You have become and might well have always been, useless and now by far the worst telecommunications company out there. You no longer have a literal connection with the public/customer of this country and continue to put shame on your staff who answer the phones. 30 years, 30 years I have been a customer with you in one way or another and you couldn't give a damn about me or any other customer who was/is in financial trouble. Now, like millions of others I have migrated to another provider, leaving you well behind in the dark shadows where you belong.I would suggest that new customers go nowhere near BT as you will be very disappointed, just read the reviews.",Stuart,2021,5,19,1,0.138,0.068,Negative
WORST INTERNET PROVIDER,Worst company in the world.Engineers do not turn up.Call every other day since March n still no workin internet. BEST ADVISE LEAVE THEM,fiona mackenzie,2021,5,19,1,0.264,0.158,Negative
Leaving vulnerable people isolated,"My elderly mother in law has been left with no internet, her main means on communication, for almost a month, during a pandemic. I've been told specific dates on which it will be fixed 6 or 7 times now; the engineer's never come thorough. I've been told the issue was escalated to managers on two occassions only to later find out this never happened. On the 7 or 8 times I've complained to BT they have given me information that later turned out to be false. This seems to a recurrent issue with many customers, where they leave vulnerable people isolated for long periods of time. If you're thinking about switching with the new deals they're offering I urge you not to, you will probably regret it.",Thomas Lewton,2021,5,19,1,0.104,0,Negative
worst company ever,worst company ever.  They tell lies and make promises they have no intention of keeping  Stay clear!!,Michael Obisesan,2021,5,19,1,0.36,0.193,Negative
Cnet Core Ltd,A communication company that can’t communicate! My Case Reference: IMP-106634544. Ombudsman’s ref: CM024073-21. I refer to the above. You claim to have contacted me over the phone on several occasions whilst I have asked you to contact me via email. We haven’t received any deadlock letter yet. Please provide me with a deadlock letter as soon as possible.,Piotr,2021,5,19,1,0.087,0.039,Negative
Awful,"Awful! The worst broadband I have ever used we’ve had boosters that were rubbish and didn’t work we now have the two WiFi lines as one wasn’t enough to reach all areas of the house. It’s always fine for a little while not great but not terrible and after a certain length time it stops working, no point in even having their WiFi anymore might as well live off 4G least you get your money’s worth! Do nothing to help fix problems when they answer the phone after you’ve waited an hour for the customer service team to respond, would give it a minus star if I could!",Ella Craig,2021,5,18,1,0.152,0.11,Negative
1 star because I can’t do zero,1 star because I can’t do zero! A communication company that can’t communicate!,Sami,2021,5,18,1,0,0,Positive
Joke of a company,"Received an email the day before the engineer is due to arrive, asking us to have the equipment we received ready, but we have never received any equipment. Our entire road (8 houses) now has the same issue, and we are all being told that they don't know when they will have the equipment to set us up.Why wait 4 weeks to tell us this!!!!!Joke of a company, who clearly do not communicate with each other, as we have also been told that the engineer will still arrive tomorrow and we have to turn him away!?!?",Luke Griggs,2021,5,18,1,0,0.114,Positive
Don’t switch to BT fibre!,"Don’t switch to BT fibre!I switched to BT fibre, made an appointment for the engineer on 17th May. I called the engineer in the morning. He said he was in a queue for some cable to do the job. He called 2 hours later to say there was no cable and he can’t complete the appointment today. He said I would have to call my old provider to extend their service, but couldn’t tell me when to. I called the provider, they said it has already switched and they can’t turn it back on.I have called BT all day to get help and nobody is answering the phone! I rang 08005874787 and 0800800150. It rang and rang for more than half an hour each time and then cut off!! I now have no broadband and to add insult to injury when I checked the progress of my order online, it said the appointment couldn’t go ahead today because I wasn’t at home to let the engineer in! This isn’t true. The appointment didn’t go ahead due to a shortage of stock.I heard from a neighbour who had the exact same experience. 3 cancelled appointment for him. BT are taking orders they know won’t go ahead! The next available appointment is 8th June!I work from home so this is not acceptable. But BT are doing nothing to help me get an earlier appointment. I sent a complaint via their website with a 24hr promise to call back. No call yet!This is the worst customer service I have ever experienced and I suspect it is happening to hundreds of people.",Jeanette Daniels,2021,5,18,1,0.131,0.065,Negative
BT ARE A COMPLETE JOKE,"BT ARE A COMPLETE JOKE.  15 YEARS WITH THEM, MEANT TO BE A PRIORITY CUSTOMER MY ASS.  LOST MY JOB DUE TO COVID AND THE SAY THEY ARE GOING TO CHARGE ME £629.00 IF I MOVE TO SKY, WHO HAVE OFFERED ME AN AMAZING DEAL (AS I NEED BROADBAND FOR MY DAUGHTERS SCHOOLING) MY PARENTS HAVE OFFERED TO PAY UNTIL I FIND WORK (TRY TO SAVE MONEY AND MAKE LIFE EASIER FOR THE MENTAL HEALTH OF MY CHILDREN)  CANT EVEN CANCEL THE PHONE LINE OR CHANGE TO A CHEAPER CONTRACT ! SHOWS HOW THEY MAKE THEIR MONEY , OFF THE BACK OF THE NOT SO WEALTHY...........",Kim Davis,2021,5,18,1,0.08,0.15,Positive
Worst in the business.,"*DO NOT* sign up with BT.On 2 separate occasions they said they were sending out engineers (i took time off work and waited in all day) but they didn't turn up BOTH TIMES....They activated my contract because they said they could see there was a connection but i haven't had any service....An engineer was booked for yesterday but they rearranged it to today (without telling me) so i cancelled the contract last night.Today i received a text this morning to say the engineer is on his way...... I'VE CANCELLED MY CONTRACT.How incompetent can this company get?! You're a teleCOMMUNICATION company with SHOCKING communication to the client.I spoke to Kevin from Cornwall (part of the loyalty team) yesterday evening to cancel my contract and he said i still have to pay £40 'because the bill has already been produced' I HAVEN'T HAD A SINGLE DAY, A SINGLE SECOND OF CONNECTION. I then proceeded to say, ""what if i take all my money out of my account"" he then said if they cannot take a direct debit, then they will past it to a debit collector and it can go to court - FOR A SERVICE I HAVEN'T HAD DUE TO BT's INCOMPETENCY.  He also said if i pay £40 i could 'potentially' get it refunded to me, POTENTIALLY??!?!?!?! I HAVEN'T HAD ANY SERVICE.What a joke of a company BT are.",Alec Yau,2021,5,18,1,0.104,0.033,Negative
Oh dear I think I’m the chosen one BUT…,Oh dear I think I’m the chosen one BUT since the onset of my contract with BT in November 2020 I was until yesterday blighted with bad Broadband TV services calls after calls to BT customer services who were always very polite and gave assistance but THEN the engineer who came to sort out my problems .TO SAY THE LEAST USELESS and on one call actually refused to help and decided to leave us to it because we queried his work .THEN ALONG COMES DAN and his MANAGER to attend as the whole service packed up .On arrival you knew the A Team had arrived they explored every avenue of our system established several faults and corrected these with new parts and even assisted us with our several App connections .My rating for BT rose from 3-93 within an hour .If every visiting engineer took time to listen and investigate like these two BT ratings would improve quickly ...AGAIN DAN thanks for returning our life back to some normality...,Mr. David Seeley,2021,5,18,4,0.074,0.106,Positive
Inept Service,Have been trying for several weeks to order BT Sports and upgrade broadband package. Several phone calls and order never fulfilled. Totally inept sales staff and customer care,Mark Burgess,2021,5,17,1,0.074,0.101,Positive
Not fair company,They give me an appointment date and just before one that sent me a message to rearrange 3 weeks later without any excuse or description. Not fair company.,Bob ,2021,5,17,1,0.117,0,Negative
Waiting for broadband installation for almost 2 months.,"Worst service EVER. I have contacted BT at the end of April to install fiber broadband, as I have recently moved into a new home. So far I have had 4 engineer visits, which have told me it is all ready for me to have my broadband available. That was almost two months ago!!!Every time I call them, they apologise and repeat they can´t really say why my broadband is not available yet. How is that possible?????Now I have been receiving automatic messages apologising and saying that they are looking into it - I receive one new message every other day, so far I have received 4 of them!!!! They all say the same thing, no one contacts me, no one solves my problem and I keep living in a new home with no broadband connection!!! My neighbour has fibre broadband from BT, so there is no reason to have such issue with mine!If there was another option I would go for it, it´s absurd how the government allows such essential service to be handled by poor providers like BT.",Mariana Zanchetta,2021,5,17,1,0.112,0.059,Negative
I bought bt sports in December to watch…,I bought bt sports in December to watch my football team play and I pay £30 a month and I have only got to watch 2 games as the others have not been shown on BT Sport,Hughy Boy,2021,5,17,1,0.041,0.071,Positive
"Dreadful, they won't send you telephone transcript for you to prove them wrong","After 4years of being a loyalty customer to BT I had to move home and I had to change provider since the BT signal was not that good at the new location. I let my18 months come to an end before my 18th month informed BT I didn't want to continue with another subscription: I have been acknowledged about this request by their ""loyalty"" team via phone. 2 months after my end of contract with BT, I receive a 45£ bill asking me to pay the month after my subscription ended. ThenI phoned BT and told them I've already been confirmed that they stop the services, via phone support.I wanted to get the transcript to prove that, but the team always refused to send that.I don't have the time to go to a lawyer and sue this dreadful company, so I gave these 45£ despite my router and TV have been disconnected ever since my end of contract.I have returned the tv and broadband as requested, I have the proof of it. I receive an email today that I amabout to pay 60£ for the tv receiver as they did not receive this, although it is in the same bag. Again, I have taken a video inserting these items into the bag.This company is a loss of your time to deal with. Stay far, far away from them.",Fabrizio,2021,5,17,1,0.079,0.01,Negative
BT missold broadband package to elderly Mum…,"I've just discovered that BT sold my 90 year old Mum a broadband and mobile package in 2016. My Mum doesn't know what broadband is! BT don't hold records of the call from 6yrs ago but are saying my Mum agreed to the package. If no broadband router was visible on their network with a related IP address and no 'phone calls shown against the sim they sent her you'd think this would have been noticed over a 6 Yr period! If not, why not! They have been charging her all this time and now say she is only able to receive a max refund of 6mths broadband. So the offer is a couple of hundred pounds and she's paid out over £2,000. There is no way my Mum understood what this package was - if somebody had asked her if she used the Internet she'd have said NO and that would have been the end if the call. Therefore she must have been coerced into buying this without understanding what they were offering. Appalling ...and so is their customer service.",Northern Soul,2021,5,15,1,0.104,0.014,Negative
My BT WiFi has been cutting out several…,"My BT WiFi has been cutting out several times a week for months.When I complained BT tested line and said router was faulty but because out of contract they wouldn’t replace. They told me if I signed up for a further 2 years I could get BT Halo with “unbreakable” internet. Since arrived 2 weeks ago it has been off several times a day and has gone off this morning and I am being told it will be fixed by next Thursday (6 days! ) The Hybrid box is not fit for purpose as it only allows you to browse internet and won’t allow you to work remotely as calls cut out etc. I have logged  2 complaints and am just being told they’ll ring me Thursday to check it’s back on. I’m sure my employer will understand that I can’t work Mon/Tues/Wed because I pay an exorbitant amount per month for WiFi that will be off for 6 days! Avoid at all costs, frankly any WiFi has to be more reliable.",7-Jan,2021,5,15,1,0.109,0.031,Negative
Awful customer service,Awful customer service. Was promised one deal and had it activated. Three weeks later. Still no broadband. Rang up three individual times and on the third they told me they would no longer be honouring it even though it was their mistake.,jack hayden,2021,5,15,1,0.191,0.109,Negative
This company is useless avoid!!,This company is useless avoid!!! 😡😡😡😡,MARTHA ALZATE,2021,5,15,1,0.595,0,Negative
BT broadband speed issues,"Since no one has mentioned speeds and everyone has been speaking about wi-fi cutting out. I haven't had any issue with the wi-fi dropping, however I have got the Fibre 1 broadband deal which states I would normally have 24-45mbps download speed and 6-8mbps upload speed. Had an engineer come over to ""improve"" the speed and all that happened in the next 2 days was my download speed dropping down to 3mbps and my upload down to 0.7mbps. When I asked them to do something about it, the technician team simply replied that upload speed cannot be guaranteed and ""one only needs it if he works at a space station"" which makes me think that they do not have the required knowledge to carry out a job in the technician team department. Awful experience so far.",Oliveira,2021,5,15,1,0.051,0,Negative
Wow!! BT  shockingly bad service.,"Wow!!! Reading all the reviews I see I am not on my own, BT is an appalling company who do not care one but about their customers shockingly bad service and terrible customer service, who do not actually care about the customers at all as soon as I can I'll be looking for a new provider.",Victoria Teears,2021,5,15,1,0.284,0.036,Negative
Unbreakable advert. Ho Ho Ho.,Their unbreakable advert is really annoying me as it is  completely misleading.Our internet goes off a couple of time a day the router reconnects almost straight away but the whole process takes 10-15 minutes each time. I have had a couple of engineers out but there is no improvement.only answer is to kick this lot into touch and get a better service elsewhere., MICHAEL MORGAN,2021,5,15,1,0.075,0.081,Positive
BTs so-called “Unbreakable…,"Do not get BTs so-called “Unbreakable Broadband”, because it breaks! The issue with most connections is that when the router loses connection from the exchange it will try and reconnect however this can anywhere from 30 minutes to over an hour, during this time the 4G router won’t work as it thinks you have connection. I’ve had engineer after engineer and am just going round in circles,",Chris ,2021,5,15,1,0.038,0,Negative
New landline,"I rang BT to order a new landline on the 3rd May stating that I would be moving into my new address on the 10th May.  I emphasised that I am not on line or possess a mobile phone and moving to live to a remote area would mean that a landline phone is very important.  I was in receipt of a letter confirming what we agreed together with a letter confirming payment.  I was told that the line would be active on the 10th, the moving date, but this did not happen.  On the 13th May I enquired about why I was not connected and told to ring the following day for an update.  I did this and I was told that I should ring again on Tuesday 18th to enquire again.  They could not tell me again the reason for the delay and I am now left wondering if I should look at other providers since BT are incapable of providing a basic telephone service.",Delyth Morris,2021,5,14,1,0.041,0.032,Negative
"When I wanted to upgrade my package,to…","When I wanted to upgrade my package,to a promotion posted through the letter box I was told that it wasn’t available to me. They tried to sell me something that I didn’t want that would cost more money.I then looked up all the information that they gave me and it was all a pack of lies,I will say that the girl on the phone was very polite and was only doing her job.the fact that she was told lied to people is totally un acceptable",Adrian Harris,2021,5,14,1,0.031,0.046,Positive
Atrocious,The last few days my BT WiFi has been absolutely terrible. It'll just die for 5 minutes then be fast again then die for 5 minutes again then be fast again. Like okay if it was consistently slow I'd understand but it yo-yos from fast to literally UNUSABLE all day every day.I'm paying for the best package available and this is the service I get? Garbage.,TJ,2021,5,14,1,0.097,0.123,Positive
Omg Massive BT error,Omg now I remember why we left  BT 30 years ago. Hello you haven't learnt customer care at all.We have had a new insulation and the young lad who they have sent has messed right up so badly that he has not even connected up to the wires. Don't say he is a sub contractor and it's not your fault. Rubbish service again BT you have failed me once again,Kim Harris,2021,5,14,1,0.161,0.029,Negative
My Internet has been fluctuating so the…,"My Internet has been fluctuating so the engineer came to check it, he has advised that I will need extra devices which never have been send by BT and now I am charged 85 pounds for improvement service which has not improved anything. With rude customer service that I have received first time round this is a slap in the face for an existing customer.",Kate Szypula,2021,5,14,1,0.108,0.068,Negative
AWFUL COMPANY,"AWFUL !Firstly took money without my knowledge or consent ! As a single mother on universal credit it’s hard to have £125 taken for the month when Iv not even been with them for a month , was told I’d have a refund on £44.99 in my bank account by today and of course it’s not in there , broadband is also extremely slow when it actually works , struggle to even send a video on my phone with this WIFI",Pc,2021,5,14,1,0.1,0.056,Negative
So far a complete waste of my time,"I have copied this from the btbroadband.com thread and moved it here as this say its claimed by BT. So far a complete waste of time, ordered FTTP their new 900 line and as such need a fibre line stringing overhead and a box installed.After multiple pester emails and texts asking me to ""Confirm"" which I did! the day came.... 8am I get a text saying my engineer will be with me ""very soon"" only to be waiting in all day and after multiple attempts to raise the engineer I get a text from him saying ""I'm not booked to be with you sorry"" so then I set about calling BT... joy wait after wait I get through at about 4pm to be told. ""oh we wont know whats happened until tomorrow pls call back"" I've now called back to be told my installation wont be until June! (oh and the notes on the account said I was not in. I would happily post my coms to prove my side BT) i can only assume by the poor reviews that im not the only one facing ultra poor service!I do welcome BT's input as I am shocked by the poor show to date and will be canceling this installation unless matters are resolved in the next few days.",cable monkey,2021,5,13,1,0.089,0.049,Negative
Horrible...,Horrible...,Sarah Julia,2021,5,13,1,0,0,Positive
"If I could give less than 1 star, I would.","If I could give less than 1 star, I would.Had our subscription cancelled when we moved house as our new property couldn't offer us the same Wifi deal we had, so they wanted the same costs per month for worse wifi. Had multiple discussions over the phone with different agents that gave us different statements of our final bill, so we waited for our final bill to arrive on email before paying, as agreed over the phone. After a couple of weeks, we were hit with a Debt Recovery company asking us for almost £1000 to cover our BT costs. After phoning BT, they said they had no records of the phone conversations that we had had, despite the emails we had proving they exist. We were also told our final bill was around the £300 mark for the cancelation fee which we said we would pay, only to be told that it was actually £770 by the next person we spoke to after being transferred through. During our time with BT, their services stopped working for around 2 months and we were promised a new TV box, instead, we just had to watch TV through the Sky Go app on my PlayStation connected to my parents account. They still expected us to pay the full amount during this time of course despite their services not working. BT also took our money and then told us our services would be activated in just over 2 months at the start of our contract. After telling them this was unacceptable as both myself and my partner need wifi to work from home, I was told nothing could be done and no one could get their services fitted or activated any quicker. I phoned sky who said they could fit everything and have an engineer in our property in 7 days, I told BT and amazingly, out of absolutely no where, we had our services booked to be activated in 5 days. Service has been terrible, even if Sky costs a bit more we're much happier with them as we haven't had any problems with their technology and their customer service has been superb. BT, not even close. If you're weighing up who to go with for any service, make BT bottom of your list and a last resort.",Tom,2021,5,13,1,0.063,0.043,Negative
not acceptable,as a disabled vulnerable person i have been treated appallingly and no phone for 3 days after 2 failed appointments,Mike Peters,2021,5,13,1,0.464,0,Negative
Terrible Service,"I am so disappointed and annoyed with the service from BT. I placed my first order on 23/4/21 for Broadband/Telephone & TV. I was given a provisional engineer date of 5th May and booked this day of work.On the 4th May, I received a text from BT asking me to call them. When I did call I was told my order hadn’t been processed and i was put through to Sales to start the process again!I spoke to an another Sales Advisor who said he would honour the same deal price for Complete Broadband, Entertainment TV & International Freedom. At the end of the call, he apologised that the invoice didn’t show International Freedom but it was included in my package. Due to the previous order blunder I called BT on the 5th to check this but was told this wasn’t included in my package. I was put through to another department where they cancelled my order but unfortunately they couldn’t help me placing another order I would have to start the process again!!I called BT to complain and spoke to an advisor who promised he would raise a complaint for me and I placed another order, this time just for Complete Broadband and International Freedom because unfortunately he wasn’t able to offer the same price package despite the error being their fault. I placed another order regardless and was given a provisional engineer date of 14/5/21. Again after another 40 mins on the phone, a day off work I received a text to say this order has been cancelled!I am absolutely furious & unless you have a BT account, there’s nowhere to log a complaint.Perhaps I should count myself lucky because looks like their Customer Service is shocking!",Margaret Cawley,2021,5,13,1,0.102,0.111,Positive
Great Experience,"Have moved house but not going to have broadband for 2 weeks . Spoke to a customer advisor called Firozs , Who was very helpfully and managed to get me a connection over 4g in the meantime. This was a big help as i work from home. Great experience.",Jammie Dodger,2021,5,13,4,0,0.265,Positive
Been without any WiFi since 16th April…,"Been without any WiFi since 16th April 21 we have an annex and the main fibre line was connected to it last year by someone we was helping out to live there whilst he got himself sorted after a divorce he had it connected without our knowledge we had copper broadband that ran very slowly we decided to speed it up with fibre at the beginning of April that’s when our nightmare started they connected our phone line and Fast fibre onto our annex and not the main house so we lost everything it’s taken hours and hours off phone calls day after day and after one month we managed to get our phone line connected but have been told today that we can’t have WiFi because there is only one line per address and they won’t put copper back on ever again because we have opted for fibre even though it’s to far away from our house fir it to work and they won’t move it onto the house, we can’t pay for it to be moved open reach are the only ones that can do it so we are completely stuck I spent from 12.30 till 4pm today trying to resolve this being passed to many departments to be told we may never have WiFi again it’s gutting and so absolutely unfair we know we have made a mistake letting someone live in our annex and would never off agreed to let them have fibre to the home WiFi if we had known we would loose WiFi in our house forever there must be someone out there that can move the grey box onto our house surely please help if anybody has any advice for us",Sarah Denny,2021,5,12,1,0.064,0.058,Negative
Utterly awful experience with the Fibre…,"Utterly awful experience with the Fibre broadband team.I always try to avoid BT (had an awful experience 10 years ago with them too), but they promised to get me live in 3 days at my new house and convinced me to cancel Hyperoptic (who would have taken about 5 days to go live). BT lied and after a few days told me that it'll take me 10 days to go live.They blamed OpenReach, who apparently manage the hardware/network. That wasn't my problem and I was told that both companies were one and the same. Spent hours on the phone and was once passed around 7 times. They're a mess. Don't ever ever go with BT.",Rick Tank,2021,5,12,1,0.15,0.076,Negative
Give this girl a raise!,"Rang today as my internet connection has completely dropped, been off for about a week! I spoke to a bloke first can’t remember his name sounded fed up an like he couldn’t be bothered, I was then pass through to Chloe (geordie lass) she was very cheery, bubbly and clearly enjoys her job, I struggle with phone calls due to anxiety but with chloe it felt like I was on the phone to an old friend, we had a laugh about home phones and how her brother rang the police when he was younger 😂 she brightened up my day!! she talked me through and explained everything I needed to know, she then wished myself and the kids well and hopes we keep safe! The world needs more chloes keep doing you girl ❤️",Cozbie,2021,5,12,5,0.031,0.238,Positive
BT poor service,I had to move recently and had to do a home move i was told my broadband and phone line would be working in 2 weeks I was given a minihub to use in the meantime openreach has been out to investigate and I thought there would be no issue as the line is working and I would be connected within days but I haven't I've made numerous calls even made a complaint but every time I ring them to try and get an answer as to when I will be connected I'm told something different by the advisers its been over 4 weeks and now I've been told they have to cancel the order because of some issues and start again which means it could be another 2 weeks or more before I get connected very poor service from 2 large companies,Christopher ,2021,5,12,1,0.085,0,Negative
Ordered broadband from them online and…,"Ordered broadband from them online and told it would go live 29/04/21. Got a text following day that due to a ""technical fault"" the order had been cancelled. They then reordered it - ""not to worry, it may be one or two days later at most"" - receive email ""congratulations, your broadband will go live 10/05/21!!"".  I'm now posting this on my phone on the 12/05/21 as I still dont have any #%£@ing broadband due to... we'll they don't know. The engineer that came round was a top bloke and spent over an hour trying to sort it. No problem with him, but this company is steaming manure. Get a pigeon- you'll have more luck than trying to message people using email with bt broadband",Jonathan Thomson,2021,5,12,1,0.054,0.065,Positive
Waste of time,Twice their 'loyalty' team got i touch to check why we were leaving them. They both offered me a decent deal to stay and twic promised to call back the next day. Twice they failed to ring back.These big service companies are utterly useless.Thankfully we have got rid and gone elsewhere.,Andrew Smith,2021,5,12,1,0.062,0.047,Negative
Rubbish  company..just big…,Rubbish  company..just big name...customer  service  persons are playing a game like passing phone to each other and put me on hold for 2 hours..I am not hear to play a game ...I am not suggesting  not to go with bt... rubbish...rubbish,SAMTA NAIK,2021,5,12,1,0.049,0.104,Positive
Absolutely rubbish company no customer…,Absolutely rubbish company no customer service at all even blatant lying will never use this company. Left a vulnerable person with no service for over a month after being one of there most loyal customers for over 50 years. Avoid at all costs they are terrible .,Stevie McGill,2021,5,12,1,0.278,0.061,Negative
Bad service,"Bad service, after two weeks of connecting to bt the line was going off really often, they detected something, booked appointment with a technician, really suspicious cause it was via sms text messages, the technician was unable to do anything and now the problem persists, don’t care about it I’m switching to sky",Susana Pena,2021,5,12,1,0.149,0.053,Negative
